Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF
04/26/2020,1778,840,341,305,36,499,938,888,50,368,1366,1152,214,1118,524,437,87,594,248,175,73,115,24,7528,5620,1161,,,4459,1908,1685,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/27/2020,1943,995,345,312,33,650,948,898,50,306,1379,1165,214,1126,502,441,61,624,253,187,66,136,24,7540,5791,1150,,,4641,1749,1652,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/28/2020,2103,1025,339,313,26,686,1078,1028,50,335,1333,1119,214,1065,505,421,84,560,268,183,85,131,35,7541,5706,1316,,,4390,1835,1821,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/29/2020,1999,1017,342,328,14,675,982,932,50,336,1333,1119,214,1055,511,443,68,544,278,203,75,112,25,7546,5686,1253,,,4433,1860,1764,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
04/30/2020,1979,1050,339,320,19,711,929,879,50,331,1333,1119,214,1058,477,417,60,581,275,202,73,113,4,7543,5437,1194,,,4243,2106,1671,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.04.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/01/2020,1937,1008,361,338,23,647,929,879,50,268,1353,1139,214,1036,470,429,41,566,317,242,75,106,21,7541,5698,1230,,,4468,1843,1700,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/02/2020,1924,1068,342,322,20,726,856,806,50,260,1357,1143,214,1090,478,428,50,612,267,201,66,83,14,7467,5560,1134,,,4426,1907,1612,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/03/2020,1922,1049,330,315,15,719,873,823,50,261,1357,1143,214,1097,486,440,46,611,260,186,74,67,25,7467,5658,1167,,,4491,1809,1653,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/04/2020,2023,1041,331,315,16,710,982,932,50,367,1358,1144,214,1059,494,442,52,565,299,240,59,86,10,7476,5694,1181,,,4513,1782,1675,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.05_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/05/2020,2071,1029,332,313,19,697,1042,992,50,353,1435,1205,230,1124,462,416,46,662,311,240,71,94,28,7502,5665,1120,,,4545,1837,1582,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/06/2020,2137,1117,321,303,18,796,1020,970,50,301,1431,1201,230,1120,480,442,38,640,311,238,73,102,28,7576,5937,1191,,,4746,1639,1671,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
05/07/2020,1985,625,327,306,21,298,1360,1310,50,341,1437,1207,230,1176,472,436,36,704,261,211,50,96,4,7577,5905,1170,920,250,4735,1672,1642,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.05.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
