Date,Confirmed,Recoveries,Deaths
Feb-15,3,0,0
Feb-16,3,0,1
Feb-17,3,0,1
Feb-18,3,0,2
Feb-19,3,0,3
Feb-20,4,0,3
Feb-21,21,0,4
Feb-22,79,0,6
Feb-23,157,0,6
Feb-24,229,1,7
Feb-25,323,1,11
Feb-26,470,3,12
Feb-27,655,45,17
Feb-28,889,45,21
Feb-29,"1,128",50,29
Mar-01,"1,701",46,31
Mar-02,"2,036",149,52
Mar-03,"2,502",160,79
Mar-04,"3,089",276,107
Mar-05,"3,858",414,148
Mar-06,"4,636",523,197
Mar-07,"5,883",589,233
Mar-08,"7,375",622,366
Mar-09,"9,172",724,463
Mar-10,"10,149","1,004",631
Mar-11,"12,462","1,045",827
Mar-12,"15,113","1,258","1,016"
Mar-13,"17,660","1,429","1,266"
Mar-14,"21,157","1,966","1,441"
Mar-15,"24,747","2,335","1,809"
Mar-16,"27,980","2,749","2,158"
Mar-17,"31,506","2,941","2,503"
Mar-18,"35,713","4,025","2,978"
Mar-19,"41,035","4,440","3,405"
Mar-20,"47,021","5,129","4,035"
Mar-21,"53,578","6,072","4,825"
Mar-22,"59,138","7,024","5,476"
Mar-23,"63,927","7,432","6,077"
Mar-24,"69,176","8,326","6,820"
Mar-25,"74,386","9,362","7,503"
Mar-26,"80,539","10,361","8,165"
Mar-27,"86,498","10,950","9,150"
Mar-28,"92,472","12,384","10,023"
Mar-29,"97,689","13,030","10,779"
Mar-30,"1,01,739","14,620","11,591"
Mar-31,"1,05,792","15,729","12,428"
Apr-01,"1,10,574","16,847","13,155"
Apr-02,"1,15,242","18,278","13,915"
Apr-03,"1,19,827","19,758","14,681"
Apr-04,"1,24,632","20,996","15,362"
Apr-05,"1,28,948","21,815","15,887"
Apr-06,"1,32,547","22,837","16,523"
Apr-07,"1,35,586","24,392","17,127"
Apr-08,"1,39,422","26,491","17,669"
Apr-09,"1,43,626","28,470","18,279"
Apr-10,"1,47,577","30,455","18,849"
Apr-11,"1,52,271","32,534","19,468"
Apr-12,"1,56,363","34,211","19,899"
Apr-13,"1,59,516","35,435","20,465"
Apr-14,"1,62,488","37,130","21,067"
Apr-15,"1,65,155","38,092","21,645"
Apr-16,"1,68,941","40,164","22,170"
Apr-17,"1,72,434","42,727","22,745"
Apr-18,"1,75,925","44,927","23,227"
Apr-19,"1,78,972","47,055","23,660"
Apr-20,"1,81,228","48,877","24,114"
Apr-21,"1,83,957","51,600","24,648"
Apr-22,"1,87,327","54,543","25,085"
Apr-23,"1,89,973","57,576","25,549"
Apr-24,"1,92,994","60,498","25,969"
Apr-25,"1,95,351","63,120","26,384"
Apr-26,"1,97,675","64,928","26,644"
Apr-27,"1,99,414","66,624","26,977"
Apr-28,"2,01,505","68,941","27,359"
Apr-29,"2,03,591","71,252","27,682"
Apr-30,"2,05,463","75,945","27,967"
May-01,"2,05,463","78,294","28,236"
May-02,"2,09,328","79,914","28,710"
May-03,"2,10,717","81,654","28,884"
May-04,"2,11,938","82,879","29,079"
May-05,"2,13,031","85,231","29,315"
May-06,"2,14,457","93,245","29,684"
May-07,"2,15,858","96,276","29,958"
May-08,"2,17,185","99,023","30,201"
May-09,"2,18,268","1,03,031","30,395"
May-10,"2,19,070","1,05,176","30,560"
May-11,"2,19,814","1,06,587","30,739"
May-12,"2,21,216","1,09,039","30,911"
May-13,"2,22,104","1,12,541","31,106"
May-14,"2,23,096","1,15,284","31,368"
