"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
20200829,174768,1014,17401,7426,1278,36470,368866,70397186,716490,1864,2060,76325567,5928381,44328,2140614,56,76325567,760818
20200828,173754,1023,17304,7558,1595,37239,367588,69680696,725710,1856,2086,75564749,5884053,46546,2118367,56,75564749,772256
20200827,172731,1129,17181,7717,1668,37464,365993,68954986,698076,1831,2125,74792493,5837507,43984,2101326,56,74792493,742060
20200826,171602,1298,17046,7763,1873,38411,364325,68256910,631672,1809,2142,74050433,5793523,43356,2084465,56,74050433,675028
20200825,170304,1147,16920,7851,1999,38762,362452,67625238,597782,1789,2163,73375405,5750167,36374,2053699,56,73375405,634156
20200824,169157,343,16787,7836,1049,38657,360453,67027456,648010,1764,2118,72741249,5713793,34641,2020774,56,72741249,682651
20200823,168814,572,16697,7951,774,39029,359404,66379446,577947,1737,2131,72058598,5679152,37567,1997782,56,72058598,615514
20200822,168242,1029,16657,8218,1537,39911,358630,65801499,710293,1736,2204,71443084,5641585,46242,1985493,56,71443084,756535
20200821,167213,1123,16563,8357,1817,40951,357093,65091206,697054,1730,2286,70686549,5595343,46562,1965056,56,70686549,743616
20200820,166090,1134,16487,8483,2010,41988,355276,64394152,634078,1716,2335,69942933,5548781,43758,1946866,56,69942933,677836
20200819,164956,1420,16377,8744,2032,43330,353266,63760074,644823,1705,2371,69265097,5505023,44953,1924875,56,69265097,689776
20200818,163536,1196,16123,8866,2273,43747,351234,63115251,616859,1695,2468,68575321,5460070,40796,1889170,56,68575321,657655
20200817,162340,407,15985,8871,1267,43485,348961,62498392,625846,1678,2447,67917666,5419274,37881,1865580,56,67917666,663727
20200816,161933,619,15924,8947,649,44028,347694,61872546,740599,1665,2481,67253939,5381393,42487,1833096,56,67253939,783086
20200815,161314,1219,15891,9101,2031,44794,347045,61131947,693310,1663,2526,66470853,5338906,56148,1818546,56,66470853,749458
20200814,160095,1216,15764,9277,2212,45776,345014,60438637,798904,1665,2549,65721395,5282758,55635,1796326,56,65721395,854539
20200813,158879,1163,15629,9489,2685,47228,342802,59639733,843535,1649,2579,64866856,5227123,51760,1774648,56,64866856,895295
20200812,157716,1517,15524,9553,3055,47968,340117,58796198,439024,1629,2604,63971561,5175363,56132,1755225,56,63971561,495156
20200811,156199,1326,15331,9136,2715,48498,337062,58357174,698757,1612,2415,63476405,5119231,55702,1714960,56,63476405,754459
20200810,154873,426,15158,9216,1654,48635,334347,57658417,693402,1592,2533,62721946,5063529,42089,1670755,56,62721946,735491
20200809,154447,616,15081,9303,855,48902,332693,56965015,666939,1578,2507,61986455,5021440,50624,1656888,56,61986455,717563
20200808,153831,1089,15024,9653,1414,49884,331838,56298076,621980,1561,2566,61268892,4970816,53713,1643137,56,61268892,675693
20200807,152742,1333,14925,9670,8036,51153,330424,55676096,715719,1549,2617,60593199,4917103,61346,1623870,56,60593199,777065
20200806,151409,1251,14810,9976,2682,53053,322388,54960377,691399,1534,2718,59816134,4855757,54185,1598624,56,59816134,745584
